"Date (UTC)","Wind offshore 50Hertz","Wind offshore Tennet","Wind onshore 50Hertz","Wind onshore Amprion","Wind onshore Tennet","Wind onshore Transnet BW","Solar 50Hertz","Solar Amprion","Solar Tennet","Solar Transnet BW"
2019-12-31T23:00:00.000Z,0.426,0.053,3.768,1.046,0.962,0.132,0,0,0,0
2019-12-31T23:15:00.000Z,0.399,0.084,3.692,1.086,1.001,0.121,0,0,0,0
2019-12-31T23:30:00.000Z,0.388,0.136,3.794,1.171,1.032,0.119,0,0,0,0
2019-12-31T23:45:00.000Z,0.43,0.208,3.871,1.182,1.07,0.121,0,0,0,0
2020-01-01T00:00:00.000Z,0.526,0.353,3.701,1.175,1.074,0.116,0,0,0,0
2020-01-01T00:15:00.000Z,0.672,0.477,3.34,1.143,1.115,0.124,0,0,0,0
2020-01-01T00:30:00.000Z,0.668,0.575,3.357,1.084,1.18,0.129,0,0,0,0
2020-01-01T00:45:00.000Z,0.693,0.68,3.372,0.999,1.269,0.135,0,0,0,0
2020-01-01T01:00:00.000Z,0.714,0.814,3.298,0.965,1.337,0.152,0,0,0,0
2020-01-01T01:15:00.000Z,0.762,0.892,3.205,0.967,1.381,0.146,0,0,0,0
2020-01-01T01:30:00.000Z,0.712,0.968,3.148,0.975,1.454,0.162,0,0,0,0
2020-01-01T01:45:00.000Z,0.725,1.051,2.959,0.995,1.534,0.17,0,0,0,0
2020-01-01T02:00:00.000Z,0.756,1.14,2.609,1.06,1.637,0.166,0,0,0,0
2020-01-01T02:15:00.000Z,0.787,1.281,2.395,1.101,1.672,0.168,0,0,0,0
2020-01-01T02:30:00.000Z,0.749,1.365,2.362,1.138,1.681,0.155,0,0,0,0
2020-01-01T02:45:00.000Z,0.762,1.389,2.33,1.198,1.731,0.161,0,0,0,0
2020-01-01T03:00:00.000Z,0.832,1.417,2.162,1.226,1.829,0.178,0,0,0,0
2020-01-01T03:15:00.000Z,0.881,1.449,2,1.267,1.862,0.191,0,0,0,0
2020-01-01T03:30:00.000Z,0.929,1.385,1.981,1.318,1.934,0.196,0,0,0,0
2020-01-01T03:45:00.000Z,0.937,1.334,1.979,1.327,1.967,0.216,0,0,0,0
2020-01-01T04:00:00.000Z,0.927,1.324,2.021,1.286,1.945,0.234,0,0,0,0
2020-01-01T04:15:00.000Z,0.933,1.271,2.03,1.265,1.932,0.255,0,0,0,0
2020-01-01T04:30:00.000Z,0.94,1.19,2.134,1.23,1.969,0.269,0,0,0,0
2020-01-01T04:45:00.000Z,0.945,1.106,2.203,1.185,1.942,0.276,0,0,0,0
2020-01-01T05:00:00.000Z,0.928,1.005,2.245,1.184,1.921,0.298,0,0,0,0
2020-01-01T05:15:00.000Z,0.924,0.958,2.223,1.183,1.791,0.3,0,0,0,0
2020-01-01T05:30:00.000Z,0.942,1,2.224,1.184,1.711,0.31,0,0,0,0
2020-01-01T05:45:00.000Z,0.967,1.037,2.145,1.14,1.735,0.319,0,0,0,0
2020-01-01T06:00:00.000Z,1.003,1.08,2.109,1.12,1.756,0.318,0,0,0,0
2020-01-01T06:15:00.000Z,1.018,1.113,2.065,1.11,1.772,0.316,0,0,0,0
2020-01-01T06:30:00.000Z,1.015,1.149,1.966,1.086,1.747,0.319,0,0,0,0
2020-01-01T06:45:00.000Z,1.018,1.21,1.963,1.055,1.66,0.332,0,0,0,0
2020-01-01T07:00:00.000Z,1.016,1.224,1.955,1.007,1.629,0.352,0,0,0.001,0.006
2020-01-01T07:15:00.000Z,1.016,1.245,1.969,1.015,1.668,0.361,0.013,0.011,0.055,0.024
2020-01-01T07:30:00.000Z,1.017,1.287,1.962,1.012,1.662,0.358,0.092,0.052,0.211,0.063
2020-01-01T07:45:00.000Z,1.013,1.3,1.872,1.019,1.72,0.351,0.211,0.136,0.453,0.16
2020-01-01T08:00:00.000Z,0.995,1.324,1.865,1.052,1.746,0.349,0.365,0.266,0.759,0.322
2020-01-01T08:15:00.000Z,0.984,1.318,1.829,1.054,1.739,0.34,0.567,0.418,1.102,0.522
2020-01-01T08:30:00.000Z,0.965,1.357,1.809,1.029,1.763,0.316,0.781,0.591,1.483,0.656
2020-01-01T08:45:00.000Z,0.946,1.454,1.752,1.056,1.849,0.329,1.05,0.782,1.89,0.769
2020-01-01T09:00:00.000Z,0.958,1.547,1.594,1.035,1.871,0.352,1.28,0.981,2.289,0.881
2020-01-01T09:15:00.000Z,0.958,1.561,1.542,1.011,1.921,0.345,1.492,1.185,2.679,0.961
2020-01-01T09:30:00.000Z,0.971,1.598,1.497,0.989,1.842,0.332,1.701,1.386,3.062,1.034
2020-01-01T09:45:00.000Z,0.97,1.596,1.513,0.953,1.781,0.309,1.957,1.578,3.397,1.137
2020-01-01T10:00:00.000Z,0.976,1.624,1.544,0.941,1.76,0.291,2.13,1.759,3.708,1.209
2020-01-01T10:15:00.000Z,0.981,1.671,1.541,0.909,1.715,0.268,2.267,1.924,3.975,1.3
2020-01-01T10:30:00.000Z,0.989,1.787,1.527,0.874,1.738,0.279,2.436,2.068,4.165,1.373
2020-01-01T10:45:00.000Z,0.999,1.947,1.557,0.793,1.745,0.227,2.498,2.181,4.337,1.454
2020-01-01T11:00:00.000Z,1.007,2.111,1.54,0.612,1.477,0.172,2.616,2.265,4.465,1.524
2020-01-01T11:15:00.000Z,1.017,2.288,1.6,0.581,1.611,0.161,2.587,2.33,4.546,1.558
2020-01-01T11:30:00.000Z,1.017,2.398,1.653,0.547,1.581,0.146,2.739,2.362,4.531,1.555
2020-01-01T11:45:00.000Z,1.017,2.559,1.942,0.49,1.333,0.125,2.679,2.38,4.478,1.511
2020-01-01T12:00:00.000Z,1.02,2.61,1.842,0.495,1.624,0.129,2.639,2.361,4.385,1.462
2020-01-01T12:15:00.000Z,1.013,2.624,1.883,0.446,1.696,0.128,2.522,2.293,4.187,1.438
2020-01-01T12:30:00.000Z,1.013,2.645,1.972,0.419,1.696,0.141,2.441,2.178,3.963,1.406
2020-01-01T12:45:00.000Z,1.013,2.522,1.947,0.398,1.631,0.176,2.297,2.025,3.686,1.309
2020-01-01T13:00:00.000Z,1.011,2.413,1.95,0.387,1.621,0.103,2.11,1.846,3.368,1.219
2020-01-01T13:15:00.000Z,1.012,2.305,1.922,0.392,1.64,0.1,1.845,1.645,3.014,1.096
2020-01-01T13:30:00.000Z,1.013,2.263,1.926,0.392,1.587,0.069,1.58,1.422,2.614,0.924
2020-01-01T13:45:00.000Z,1.019,2.257,1.898,0.388,1.576,0.083,1.255,1.189,2.161,0.77
2020-01-01T14:00:00.000Z,1.014,2.181,1.849,0.398,1.667,0.09,0.93,0.951,1.717,0.627
2020-01-01T14:15:00.000Z,0.997,2.003,1.868,0.44,1.714,0.099,0.571,0.714,1.257,0.459
2020-01-01T14:30:00.000Z,0.976,1.883,1.921,0.508,1.747,0.114,0.294,0.486,0.825,0.308
