"Date (UTC)","Wind offshore 50Hertz","Wind offshore Tennet","Wind onshore 50Hertz","Wind onshore Amprion","Wind onshore Tennet","Wind onshore Transnet BW","Solar 50Hertz","Solar Amprion","Solar Tennet","Solar Transnet BW"
2016-12-31T23:00:00.000Z,0.332,2.971,5.161,1.068,5.821,0.07,0,0,0,0
2017-01-01T00:00:00.000Z,0.332,2.972,5.269,1.084,5.632,0.075,0,0,0,0
2017-01-01T01:00:00.000Z,0.332,2.967,5.096,1.09,5.541,0.054,0,0,0,0
2017-01-01T02:00:00.000Z,0.331,2.969,4.824,1.024,5.525,0.058,0,0,0,0
2017-01-01T03:00:00.000Z,0.331,2.967,4.771,0.968,5.764,0.064,0,0,0,0
2017-01-01T04:00:00.000Z,0.332,2.958,4.835,0.972,6.063,0.094,0,0,0,0
2017-01-01T05:00:00.000Z,0.332,2.856,5.168,0.846,6.581,0.121,0,0,0,0
2017-01-01T06:00:00.000Z,0.329,2.554,5.631,0.804,6.458,0.127,0,0,0,0.001
2017-01-01T07:00:00.000Z,0.329,2.332,6.038,0.774,6.203,0.141,0.09,0.04,0.088,0.044
2017-01-01T08:00:00.000Z,0.328,2.277,6.017,0.813,6.167,0.12,0.683,0.347,0.59,0.35
2017-01-01T09:00:00.000Z,0.329,1.979,5.23,0.829,6.033,0.104,1.413,0.882,1.368,0.81
2017-01-01T10:00:00.000Z,0.328,1.842,4.399,0.78,5.838,0.114,1.899,1.456,2.051,1.143
2017-01-01T11:00:00.000Z,0.328,1.624,3.97,0.725,5.471,0.118,2.07,1.842,2.355,1.373
2017-01-01T12:00:00.000Z,0.32,1.107,3.889,0.723,4.875,0.107,1.66,1.728,2.176,1.298
2017-01-01T13:00:00.000Z,0.165,0.621,3.835,0.871,4.232,0.105,0.956,1.125,1.509,0.922
2017-01-01T14:00:00.000Z,0.095,0.353,3.591,1.016,3.835,0.105,0.239,0.424,0.598,0.367
2017-01-01T15:00:00.000Z,0.105,0.421,3.788,1.134,3.57,0.129,0.002,0.028,0.061,0.041
2017-01-01T16:00:00.000Z,0.131,0.465,4.056,1.246,3.667,0.173,0,0,0,0
2017-01-01T17:00:00.000Z,0.106,0.65,4.363,1.202,3.309,0.245,0,0,0,0
2017-01-01T18:00:00.000Z,0.111,0.82,4.69,1.091,3.248,0.268,0,0,0,0
2017-01-01T19:00:00.000Z,0.153,1.43,5.186,0.985,3.078,0.263,0,0,0,0
2017-01-01T20:00:00.000Z,0.199,1.782,5.556,0.955,2.818,0.224,0,0,0,0
2017-01-01T21:00:00.000Z,0.232,2.215,5.709,0.987,2.964,0.231,0,0,0,0
2017-01-01T22:00:00.000Z,0.209,2.505,5.434,0.909,2.936,0.267,0,0,0,0
2017-01-01T23:00:00.000Z,0.168,2.792,5.123,0.933,3.089,0.284,0,0,0,0
2017-01-02T00:00:00.000Z,0.182,2.812,5.056,0.98,3.585,0.294,0,0,0,0
2017-01-02T01:00:00.000Z,0.118,2.533,5.185,0.974,3.655,0.245,0,0,0,0
2017-01-02T02:00:00.000Z,0.185,2.213,5.297,0.954,3.893,0.152,0,0,0,0
2017-01-02T03:00:00.000Z,0.256,1.849,5.111,0.958,3.688,0.127,0,0,0,0
2017-01-02T04:00:00.000Z,0.245,1.794,5.086,0.971,3.659,0.108,0,0,0,0
2017-01-02T05:00:00.000Z,0.193,1.855,4.955,1.012,3.998,0.116,0,0,0,0
2017-01-02T06:00:00.000Z,0.16,1.509,5.029,0.997,4.118,0.111,0,0,0,0
2017-01-02T07:00:00.000Z,0.182,1.503,5.051,1.121,3.443,0.108,0.017,0.025,0.04,0.022
2017-01-02T08:00:00.000Z,0.219,1.818,4.854,1.065,2.478,0.084,0.126,0.181,0.292,0.122
2017-01-02T09:00:00.000Z,0.171,2.315,4.773,0.957,2.015,0.09,0.309,0.396,0.561,0.273
2017-01-02T10:00:00.000Z,0.24,2.543,4.308,0.93,1.703,0.1,0.574,0.588,0.778,0.335
