"Date (UTC)","Wind offshore 50Hertz","Wind offshore Tennet","Wind onshore 50Hertz","Wind Amprion","Wind onshore Tennet","Wind Transnet BW","Solar 50Hertz","Solar Amprion","Solar Tennet","Solar Transnet BW"
2017-12-31T23:00:00.000Z,0.195,2.723,10.201,7.062,10.313,1.09,0,0,0,0
2018-01-01T00:00:00.000Z,0.127,2.872,10.637,7.189,11.177,1.103,0,0,0,0
2018-01-01T01:00:00.000Z,0.118,2.978,10.612,7.218,11.989,0.953,0,0,0,0
2018-01-01T02:00:00.000Z,0.171,2.966,10.425,7.291,12.931,0.994,0,0,0,0
2018-01-01T03:00:00.000Z,0.249,2.963,10.547,7.188,12.791,1.003,0,0,0,0
2018-01-01T04:00:00.000Z,0.322,2.96,10.611,7.298,13.134,1.021,0,0,0,0
2018-01-01T05:00:00.000Z,0.327,2.964,10.199,7.042,13.278,0.928,0,0,0,0
2018-01-01T06:00:00.000Z,0.327,2.955,10.461,6.627,12.993,0.837,0,0,0,0
2018-01-01T07:00:00.000Z,0.327,2.958,11.02,6.344,12.122,0.826,0.086,0.016,0.029,0.042
2018-01-01T08:00:00.000Z,0.327,2.95,11.386,6.247,12.292,0.887,0.577,0.297,0.402,0.289
2018-01-01T09:00:00.000Z,0.327,2.869,11.911,6.389,12.524,0.915,1.286,0.876,1.194,0.68
2018-01-01T10:00:00.000Z,0.327,2.925,12.073,6.512,12.786,0.93,1.755,1.44,1.73,1.076
2018-01-01T11:00:00.000Z,0.327,2.961,11.944,6.069,12.624,0.959,1.794,1.479,1.857,1.28
2018-01-01T12:00:00.000Z,0.327,2.959,10.897,5.489,11.88,1.025,1.373,1.18,1.893,1.24
2018-01-01T13:00:00.000Z,0.327,2.953,9.53,4.697,10.513,0.838,0.814,0.796,1.408,1.011
2018-01-01T14:00:00.000Z,0.327,3.904,8.225,4.233,9.12,0.605,0.225,0.293,0.624,0.406
2018-01-01T15:00:00.000Z,0.327,3.679,7.063,4.045,7.85,0.565,0.001,0.01,0.018,0.012
2018-01-01T16:00:00.000Z,0.327,3.36,6.385,4.213,6.933,0.681,0,0,0,0
2018-01-01T17:00:00.000Z,0.327,2.929,6.084,4.132,6.676,0.831,0,0,0,0
2018-01-01T18:00:00.000Z,0.327,2.777,6.167,3.938,6.281,0.953,0,0,0,0
2018-01-01T19:00:00.000Z,0.326,2.532,5.952,3.7,5.801,1.046,0,0,0,0
2018-01-01T20:00:00.000Z,0.324,2.231,5.969,3.964,5.484,1.071,0,0,0,0
2018-01-01T21:00:00.000Z,0.301,2.045,5.704,4.268,4.969,1.119,0,0,0,0
2018-01-01T22:00:00.000Z,0.276,1.669,5.163,4.601,4.858,1.192,0,0,0,0
2018-01-01T23:00:00.000Z,0.254,1.263,4.601,4.687,4.998,1.2,0,0,0,0
2018-01-02T00:00:00.000Z,0.219,1.393,3.938,4.861,5.248,1.187,0,0,0,0
2018-01-02T01:00:00.000Z,0.161,1.372,3.379,4.729,5.475,1.174,0,0,0,0
2018-01-02T02:00:00.000Z,0.121,1.58,3.206,4.514,5.748,1.171,0,0,0,0
2018-01-02T03:00:00.000Z,0.097,1.714,3.696,4.409,6.007,1.133,0,0,0,0
2018-01-02T04:00:00.000Z,0.091,1.843,4.171,4.447,5.928,1.029,0,0,0,0
2018-01-02T05:00:00.000Z,0.076,2.089,4.603,4.678,5.986,0.956,0,0,0,0
2018-01-02T06:00:00.000Z,0.06,2.086,4.75,4.812,6.098,0.91,0,0,0,0
